"CIVICNUMBER","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE"
38,"Donna Drive","P6C 5Y2","SSM",46.53912872,-84.37326312
915,"Seventh Line East",,"SSM",46.60942959,-84.30459024
134,"Schultz Side Road","P6A 6J8","SSM",46.58688364,-84.31106421
43,"Birkshire Place","P6A 6J8","SSM",46.55717897,-84.30243535
796,"Second Line East","P6B 4K4","SSM",46.5389521,-84.31118842
982,"Highway 17 North","P6A 5K7","Aweres Township",46.65026793,-84.31368433
2384,"Great Northern Road",,"SSM",46.59711418,-84.29360481
1102,"Fifth Line East","P6A 6J8","SSM",46.59082262,-84.29262187
34,"Heidi Court","P6A 5K7","Aweres Township",46.65896498,-84.33199659
19,"Queensgate Boulevard","P6A 6Y6","SSM",46.52513084,-84.24772904
0,"Old Garden River Road","P6A 0C9","SSM",46.54927978,-84.29765794
686,"Brule Road","P6A 0B5","SSM",46.57464981,-84.36236988
674,"Brule Road","P6A 0B5","SSM",46.57432299,-84.36213855
2003,"Seventh Line East Ext",,"SSM",46.59364697,-84.2617872
0,"Old Garden River Road","P6A 0C9","SSM",46.55072414,-84.29745053
1173,"Fourth Line East","P6A 6J8","SSM",46.56427798,-84.29169397
2049,"Queen Street East","P6A 2H4","SSM",46.50042825,-84.26456581
403,"Seventh Line East",,"SSM",46.60709025,-84.32800465
605,"Seventh Line East",,"SSM",46.60199674,-84.31726335
1035,"Second Line East","P6B 4K5","SSM",46.53849371,-84.29823652
501,"Cathcart Street","P6A 1G5","SSM",46.52135478,-84.35320427
1579,"Great Northern Road","P6B 0C2","SSM",46.57656727,-84.32282561
394,"Frontenac Street","P6A 5K9","Rankin",46.5327486,-84.25099516
2600,"Great Northern Road",,"SSM",46.60638964,-84.28603588
450,"Landslide Road","P6A 6J8","SSM",46.57935108,-84.27986431
0,"Schultz Side Road","P6A 6J8","SSM",46.58680359,-84.30496609
27,"Queensgate Boulevard","P6A 6Y6","SSM",46.52534913,-84.24815677
839,"Landslide Road","P6A 6J8","SSM",46.58963988,-84.28107639
38,"Rupert Acres Drive","P6A 5K7","Aweres Township",46.6555363,-84.31385015
1084,"Third Line East","P6A 6J8","SSM",46.55794404,-84.29444133
101,"Birkshire Place","P6A 6J8","SSM",46.55961857,-84.2971267
0,"Old Garden River Road","P6A 0C9","SSM",46.55158417,-84.29709589
378,"Frontenac Street","P6A 5K9","Rankin",46.53238806,-84.25184486
463,"Moss Road","P6A 0B5","SSM",46.56140792,-84.37305295
1802,"Sixth Line East","P6A 6J8","SSM",46.59978137,-84.25690404
268,"Fifth Line East","P6A 6J8","SSM",46.58203141,-84.33964924
914,"Sixth Line East","P6A 6J8","SSM",46.59826488,-84.30400578
856,"Fourth Line East","P6A 6J8","SSM",46.56752808,-84.30997916
501,"Cathcart Street","P6A 1G5","SSM",46.52142984,-84.35319645
917,"Seventh Line East",,"SSM",46.60591526,-84.30440558
45,"Queensgate Boulevard","P6A 6Y6","SSM",46.52580138,-84.24904289
1802,"Fifth Line East",,"SSM",46.5850908,-84.25535128
424,"Schultz Side Road","P6A 6J8","SSM",46.59841605,-84.31578461
32,"Heidi Court","P6A 5K7","Aweres Township",46.6588589,-84.33184365
0,"Great Northern Road","P6B 0C1","SSM",46.56985289,-84.32165549
396,"Landslide Road","P6A 6J8","SSM",46.57659481,-84.28014711
50,"Linda Road",,"SSM",46.54432727,-84.31664254
405,"Fourth Line East","P6A 6J8","SSM",46.56637013,-84.33272808
138,"Old Trout Lake Road","P6A 6J8","SSM",46.6030131,-84.27273411
388,"Lakeshore Drive","P6A 5K8","Dennis",46.62231186,-84.53137977
2253,"Great Northern Road",,"SSM",46.595102,-84.30384027
346,"Old Trout Lake Road","P6A 6J8","SSM",46.61008547,-84.27493203
864,"Third Line East","P6A 6J8","SSM",46.55654002,-84.30472672
114,"Old Highway 17 North","P6B 0C8","SSM",46.5767851,-84.32175118
371,"Fourth Line East","P6A 6J8","SSM",46.56682917,-84.33376019
1026,"Old Garden River Road","P6A 6J8","SSM",46.55676195,-84.28823377
0,"Case Road","P6A 6J8","SSM",46.56804434,-84.26691988
928,"Second Line East","P6B 4K4","SSM",46.53957827,-84.30376623
1495,"Third Line East","P6A 0E1","SSM",46.55380395,-84.27610293
802,"Sixth Line East","P6A 6J8","SSM",46.60219045,-84.30942179
504,"Queen Street East","P6A 2A1","SSM",46.51017742,-84.33091251
0,"Case Road","P6A 6J8","SSM",46.57978142,-84.26960194
110,"Terrance Avenue","P6B 4N1","SSM",46.5458079,-84.31377418
0,"Landslide Road","P6A 6J8","SSM",46.56829679,-84.27938907
450,"Industrial Park Crescent","P6B 5Y8","SSM",46.55181453,-84.32375921
436,"Lakeshore Drive","P6A 5K8","Dennis",46.62026889,-84.53274687
2,"Kingsmount Boulevard","P6B 3L8","SSM",46.51606804,-84.29210889
251,"Upton Road","P6B 3E1","SSM",46.51167872,-84.31153472
740,"MacDonald Avenue","P6B 1J5","SSM",46.5164828,-84.2906216
585,"Black Road","P6A 0C8","SSM",46.53754847,-84.28867073
69,"Fairmount Drive","P6B 5Y1","SSM",46.51724034,-84.2910663
782,"MacDonald Avenue","P6B 1J5","SSM",46.51717409,-84.29054941
450,"Lakeshore Drive","P6A 5K8","Dennis",46.61971989,-84.53312985
510,"Queen Street East","P6A 2A1","SSM",46.51010963,-84.33082315
80,"Plaintree Drive","P6B 5H3","SSM",46.52909483,-84.30535991
0,"Northern Avenue East",,"SSM",46.53148863,-84.29620424
1,"Princess Crescent","P6B 3P4","SSM",46.52300367,-84.3047443
56,"Creery Avenue","P6B 1G8","SSM",46.51461019,-84.29882926
35,"Eagle Drive",,"SSM",46.52940286,-84.3176911
39,"Eagle Drive",,"SSM",46.52939002,-84.31752743
43,"Eagle Drive",,"SSM",46.5293862,-84.31736461
49,"Eagle Drive",,"SSM",46.529388,-84.31705808
45,"Eagle Drive",,"SSM",46.52939158,-84.31721047
51,"Eagle Drive",,"SSM",46.52939133,-84.31681667
59,"Eagle Drive",,"SSM",46.52939271,-84.3164919
65,"Eagle Drive",,"SSM",46.52939436,-84.31617886
240,"Pim Street",,"SSM",46.51102772,-84.31915875
804,"MacDonald Avenue","P6B 1J5","SSM",46.5176855,-84.29048225
209,"Eagle Drive",,"SSM",46.52942623,-84.30942587
21,"Wireless Avenue","P6B 1L4","SSM",46.51742324,-84.29751902
73,"Boehmer Boulevard","P6B 5C1","SSM",46.52434929,-84.31455341
77,"Boehmer Boulevard","P6B 5C1","SSM",46.52444118,-84.31456101
379,"Fourth Line East","P6A 6J8","SSM",46.56680382,-84.3335413
83,"Boehmer Boulevard","P6B 5C1","SSM",46.52465484,-84.31453404
79,"Boehmer Boulevard","P6B 5C1","SSM",46.52453857,-84.31453469
460,"Lakeshore Drive","P6A 5K8","Dennis",46.61946628,-84.5334559
87,"Boehmer Boulevard","P6B 5C1","SSM",46.52478746,-84.31453245
91,"Boehmer Boulevard","P6B 5C1","SSM",46.52494573,-84.31453482
93,"Boehmer Boulevard","P6B 5C1","SSM",46.52502673,-84.31453474
13,"Maple Drive","P6A 5K7","Aweres Township",46.65538289,-84.31283263
97,"Boehmer Boulevard","P6B 5C1","SSM",46.52511675,-84.31453551
611,"MacDonald Avenue","P6B 1J4","SSM",46.51535446,-84.29162029
68,"Boehmer Boulevard",,"SSM",46.52498675,-84.3135992
21,"Birchland Court","P6B 5W7","SSM",46.5165021,-84.30119555
50,"Chapple Avenue","P6B 3N9","SSM",46.52489588,-84.31279656
366,"MacDonald Avenue","P6B 1H6","SSM",46.5157434,-84.30565917
512,"Queen Street East","P6A 2A1","SSM",46.51009004,-84.33079739
536,"Black Road","P6A 0C8","SSM",46.53174729,-84.28048264
0,"Northern Avenue East",,"SSM",46.53385048,-84.29941246
101,"Boehmer Boulevard","P6B 5C1","SSM",46.52521573,-84.31453455
0,"Northern Avenue East",,"SSM",46.53283754,-84.29920319
103,"Boehmer Boulevard","P6B 5C1","SSM",46.52530572,-84.31453402
107,"Boehmer Boulevard","P6B 5C1","SSM",46.52539574,-84.3145348
111,"Boehmer Boulevard","P6B 5C1","SSM",46.52548572,-84.31453427
113,"Boehmer Boulevard","P6B 5C1","SSM",46.5255847,-84.3145333
117,"Boehmer Boulevard","P6B 5C1","SSM",46.52567472,-84.31453408
521,"Queen Street East","P6A 2A2","SSM",46.50977829,-84.33099855
121,"Boehmer Boulevard","P6B 5C1","SSM",46.52577367,-84.3145318
100,"Bruce Street","P6A 2X5","SSM",46.5137202,-84.33532568
604,"Shannon Road","P6B 3M1","SSM",46.52035969,-84.28181323
617,"Old Garden River Road","P6A 0C9","SSM",46.54705936,-84.29755037
211,"Eagle Drive",,"SSM",46.52943148,-84.30928177
215,"Eagle Drive",,"SSM",46.52943521,-84.30906186
221,"Eagle Drive",,"SSM",46.52943573,-84.30879738
225,"Eagle Drive",,"SSM",46.52943534,-84.30863922
33,"Herbert Street","P6B 2V2","SSM",46.52054387,-84.31728503
296,"Korah Road","P6C 4H1","SSM",46.5311074,-84.36163769
879,"McNabb Street",,"SSM",46.52123059,-84.2779656
710,"MacDonald Avenue","P6B 1J5","SSM",46.51885947,-84.28958267
227,"Eagle Drive",,"SSM",46.52944261,-84.30842461
79,"Grove Crescent","P6B 5Y2","SSM",46.52092158,-84.29150109
79,"Grove Crescent","P6B 5Y2","SSM",46.52105378,-84.29150038
79,"Grove Crescent","P6B 5Y2","SSM",46.52096667,-84.29150094
79,"Grove Crescent","P6B 5Y2","SSM",46.5210095,-84.29149672
79,"Grove Crescent","P6B 5Y2","SSM",46.52114073,-84.29150075
79,"Grove Crescent","P6B 5Y2","SSM",46.52109753,-84.29150082
5,"Marwayne Avenue",,"SSM",46.52593246,-84.31477824
288,"Korah Road","P6C 4H1","SSM",46.53100539,-84.36157352
0,"Lake Street","P6B 6B4","SSM",46.52931693,-84.2960904
0,"Burton Road","P6B 5X1","SSM",46.51894559,-84.2937417
0,"Fairmount Drive","P6B 5Y1","SSM",46.51944313,-84.2909724
29,"Eagle Drive",,"SSM",46.52940136,-84.31801066
33,"Eagle Drive",,"SSM",46.52939763,-84.31785175
0,"Black Road","P6B 0A3","SSM",46.51946098,-84.29020306
56,"Eagle Drive",,"SSM",46.52993447,-84.3169503
58,"Eagle Drive",,"SSM",46.52993689,-84.31666982
66,"Eagle Drive",,"SSM",46.52991402,-84.31607891
97,"Black Road","P6B 0A3","SSM",46.51972076,-84.28899026
64,"Eagle Drive",,"SSM",46.5299086,-84.31623175
60,"Eagle Drive",,"SSM",46.52994022,-84.31642841
131,"Breton Road","P6B 5T8","SSM",46.51143329,-84.2992149
73,"Old Goulais Bay Road","P6A 0B5","SSM",46.55593514,-84.3414883
5,"Maki Lake Road","P6A 0E4","Aweres Township",46.62862138,-84.29428787
214,"Birch Street","P6B 2K2","SSM",46.52749225,-84.33512203
68,"Cameron Avenue","P6B 4X2","SSM",46.52689599,-84.32136774
0,"Stevens Street","P6B 3N7","SSM",46.52492662,-84.3248965
0,"Reid Street","P6B 4T7","SSM",46.52535294,-84.32503855
0,"Northland Road","P6C 3N2","SSM",46.52510931,-84.34469788
131,"Second Line East","P6C 2M4","SSM",46.53779937,-84.34353767
121,"Second Line East","P6C 2M4","SSM",46.53801658,-84.34397702
308,"Bruce Street","P6B 1P6","SSM",46.51853298,-84.32761986
401,"Wilson Street",,"SSM",46.52233077,-84.33184834
47,"Stevens Street","P6B 3N8","SSM",46.52320105,-84.32461618
8,"Maki Lake Road","P6A 0E4","Aweres Township",46.62874566,-84.29351951
64,"Bingham Street",,"SSM",46.5089885,-84.33130133
320,"Doncaster Road","P6C 2T9","SSM",46.54076945,-84.36765416
437,"Wilson Street",,"SSM",46.52303331,-84.33187129
51,"Lansdowne Avenue","P6B 1K5","SSM",46.51890779,-84.32705219
17,"London Street","P6A 2S2","SSM",46.52080895,-84.33914535
315,"St. George's Avenue East","P6B 6E8","SSM",46.5229661,-84.32611412
336,"Bruce Street","P6B 1P7","SSM",46.51919302,-84.3265953
100,"Second Line East",,"SSM",46.5392044,-84.34564289
6,"Wawanosh Avenue","P6B 6A2","SSM",46.52805463,-84.32703393
344,"Northland Road","P6C 3N3","SSM",46.52583676,-84.34463111
120,"Railroad Avenue","P6B 1T6","SSM",46.51936928,-84.33517645
489,"Wilson Street","P6B 2L1","SSM",46.52482944,-84.33190586
20,"Maki Lake Road","P6A 0E4","Aweres Township",46.62902551,-84.29326282
147,"Second Line East","P6C 2M4","SSM",46.53862186,-84.34291323
151,"Second Line East","P6C 2M4","SSM",46.538661,-84.3426609
155,"Second Line East","P6C 2M4","SSM",46.5386912,-84.34241163
75,"Chapple Avenue","P6B 3P1","SSM",46.52363184,-84.31164893
29,"Edinburgh Street","P6A 1K8","SSM",46.52151318,-84.34056367
31,"Beatrice Street","P6B 1G4","SSM",46.5128764,-84.32357844
159,"Second Line East","P6C 2M4","SSM",46.53872885,-84.34209547
0,"Stevens Street","P6B 3N8","SSM",46.52362138,-84.32565558
171,"Second Line East","P6C 2M4","SSM",46.53872721,-84.34163776
307,"Wilson Street","P6B 2K7","SSM",46.51876313,-84.33164658
25,"Maki Lake Road","P6A 0E4","Aweres Township",46.62939279,-84.29403802
77,"Chapple Avenue","P6B 3P1","SSM",46.52363052,-84.31159658
4,"Chestnut Street South","P6B 2C7","SSM",46.52160351,-84.33741142
3,"Atlantic Street",,"SSM",46.51776757,-84.32145031
118,"Birch Street","P6B 2J8","SSM",46.52388061,-84.33251302
30,"Stevens Street","P6B 3N5","SSM",46.52413274,-84.32219094
322,"Doncaster Road","P6C 2T9","SSM",46.54076829,-84.36774043
45,"Cameron Avenue","P6B 4W9","SSM",46.52504886,-84.32204536
26,"Edinburgh Street","P6A 1K7","SSM",46.52176706,-84.34006794
209,"Elmwood Avenue","P6B 4W5","SSM",46.53211444,-84.32322231
72,"Northern Avenue West","P6B 4H4","SSM",46.53598351,-84.33242212
16,"Atlantic Street",,"SSM",46.51861433,-84.32123293
79,"Bingham Street",,"SSM",46.50956642,-84.33119442
0,"Hamilton Avenue","P6B 1C7","SSM",46.51258121,-84.32194987
80,"Fauquier Avenue","P6B 2P4","SSM",46.51463123,-84.32472419
268,"Spruce Street","P6B 2H3","SSM",46.52675411,-84.33511251
19,"Lamming Avenue","P6A 5K8","SSM",46.54883468,-84.37495666
1120,"Lake Street","P6B 6B7","SSM",46.53268606,-84.29667489
0,"Peoples Road","P6C 3V5","SSM",46.53998637,-84.3493064
137,"Carufel Avenue","P6C 4T5","SSM",46.53234206,-84.37503654
2,"Lamming Avenue","P6A 5K8","SSM",46.54843927,-84.37419828
9,"Keys Street","P6A 5K8","SSM",46.5484214,-84.37363626
589,"Brunswick Avenue","P6C 4G2","SSM",46.54038527,-84.36405832
28,"Estelle Street","P6C 2C1","SSM",46.53506714,-84.35193123
1521,"Korah Road","P6A 5K8","SSM",46.54832855,-84.37865616
21,"Keys Street","P6A 5K8","SSM",46.54897436,-84.37367127
601,"Farwell Terrace","P6C 4C6","SSM",46.54111622,-84.36142777
570,"Wallace Terrace","P6C 1L8","SSM",46.53014726,-84.37979644
268,"Kingsford Road","P6C 2W3","SSM",46.54163999,-84.36462949
318,"Franklin Street","P6C 4A8","SSM",46.53188969,-84.35891391
277,"Cheshire Road","P6C 4G5","SSM",46.54200711,-84.36532492
185,"Black Road","P6A 0C8","SSM",46.52365718,-84.28963844
258,"Doncaster Road","P6C 2T9","SSM",46.54086223,-84.36464615
259,"Cheshire Road","P6C 4G5","SSM",46.54202122,-84.36476599
2,"Raymond Street","P6C 2E4","SSM",46.53565575,-84.36103827
269,"Kingsford Road","P6C 2W2","SSM",46.54122088,-84.36464979
226,"Hampton Road",,"SSM",46.53851206,-84.36168051
250,"Glasgow Avenue","P6C 5G3","SSM",46.52941437,-84.38493235
225,"Selby Road","P6C 2P6","SSM",46.53884123,-84.36190454
221,"Selby Road","P6C 2P6","SSM",46.53884529,-84.36169045
236,"Prentice Avenue","P6C 4R3","SSM",46.53812467,-84.37121503
2,"Chelten Avenue",,"SSM",46.54433363,-84.38444356
848,"Second Line West","P6C 2L3","SSM",46.53854409,-84.39378879
662,"Wallace Terrace","P6C 1L8","SSM",46.52977542,-84.3808818
718,"Wellington Street West","P6C 3V2","SSM",46.53581519,-84.34994928
39,"Vesta Place","P6C 6G1","SSM",46.53583781,-84.36250798
0,"Wellington Street West","P6C 3V3","SSM",46.5352993,-84.352081
99,"Second Line West","P6C 2J1","SSM",46.53729213,-84.35535634
182,"Goulais Avenue","P6C 4Z6","SSM",46.52749548,-84.38109526
212,"Selby Road",,"SSM",46.53929108,-84.36228836
425,"Wellington Street West",,"SSM",46.52772872,-84.34987681
103,"Moss Road","P6A 0B5","SSM",46.54932352,-84.37243994
291,"Langdon Road","P6C 4G5","SSM",46.5436058,-84.36596231
287,"Langdon Road","P6C 4G5","SSM",46.5436086,-84.36569348
898,"Lakeshore Drive","P6A 5K8","Dennis",46.60658408,-84.5473659
62,"McNabb Street","P6B 1X8","SSM",46.52215388,-84.32478079
0,"Cheshire Road","P6C 4G5","SSM",46.54265789,-84.36466473
35,"Vesta Place","P6C 6G1","SSM",46.5358375,-84.36243575
435,"Wellington Street West",,"SSM",46.52792333,-84.350119
677,"Brunswick Avenue","P6C 4G2","SSM",46.54353696,-84.36414737
439,"Wellington Street West",,"SSM",46.52809713,-84.35023964
254,"Sydenham Road","P6C 2X4","SSM",46.54332069,-84.36413567
367,"Laurier Avenue","P6C 5J6","SSM",46.53367887,-84.38843356
212,"Patrick Street",,"SSM",46.52815649,-84.35319028
781,"Short Street","P6C 3R3","SSM",46.53737806,-84.34697395
443,"Wellington Street West",,"SSM",46.52821255,-84.35031513
314,"East Balfour Street","P6C 1X9","SSM",46.53416085,-84.37703154
500,"Bay Street","P6A 1X5","SSM",46.50935416,-84.33221466
163,"Carufel Avenue","P6C 4T5","SSM",46.53351021,-84.37534797
27,"Vesta Place","P6C 6G1","SSM",46.53582717,-84.36228862
910,"Lakeshore Drive","P6A 5K8","Dennis",46.60630412,-84.54777826
259,"Sussex Road","P6C 5X6","SSM",46.53966771,-84.36290385
0,"Broadview Drive",,"SSM",46.54569806,-84.38625502
402,"Spadina Avenue","P6C 5E5","SSM",46.53500479,-84.38305164
1531,"Korah Road","P6A 5K8","SSM",46.54829174,-84.38032074
8,"Keys Street","P6A 5K8","SSM",46.54861068,-84.37297071
79,"Moss Road","P6A 0B5","SSM",46.54865815,-84.37236536
89,"Glasgow Avenue","P6C 5E8","SSM",46.52522015,-84.3857333
0,"Brookfield Avenue","P6C 5P2","SSM",46.53401102,-84.39788348
0,"East Balfour Street","P6C 1X8","SSM",46.53221177,-84.37862265
224,"Central Street","P6C 4X3","SSM",46.5291657,-84.37788401
141,"Brookfield Avenue","P6C 5P2","SSM",46.53303021,-84.39858019
340,"Laurier Avenue","P6C 5J4","SSM",46.53270687,-84.38764557
404,"Rowell Avenue","P6C 5L1","SSM",46.53516057,-84.39019221
407,"Rowell Avenue","P6C 5L3","SSM",46.53516229,-84.39081955
0,"Moss Road","P6A 0B5","SSM",46.54931441,-84.37296778
333,"Farwell Terrace","P6C 4B4","SSM",46.53237072,-84.36080289
796,"Lakeshore Drive","P6A 5K8","Dennis",46.60984569,-84.5428211
0,"Moss Road","P6A 0B5","SSM",46.54941661,-84.37297772
349,"Rossmore Road","P6C 2Z1","SSM",46.54383014,-84.37454067
0,"Moss Road","P6A 0B5","SSM",46.54942656,-84.37243548
198,"Mark Street","P6A 3M7","SSM",46.50552026,-84.28999842
0,"Chippewa Street",,"SSM",46.5431231,-84.39527756
233,"Second Line West","P6C 6C5","SSM",46.53661233,-84.36153966
0,"Moss Road","P6A 0B5","SSM",46.54952275,-84.37298668
0,"Moss Road","P6A 0B5","SSM",46.54972682,-84.37296887
0,"Moss Road","P6A 0B5","SSM",46.54961178,-84.37299178
1979,"Base Line","P6A 5K6","SSM",46.51916856,-84.48096774
0,"Moss Road","P6A 0B5","SSM",46.54963804,-84.37246232
46,"Edison Avenue","P6C 4T8","SSM",46.53891033,-84.37428758
0,"Moss Road","P6A 0B5","SSM",46.54953139,-84.37244633
0,"Moss Road","P6A 0B5","SSM",46.54974281,-84.37246261
0,"Vivian Avenue",,"SSM",46.53620458,-84.37639666
198,"Mark Street","P6A 3M7","SSM",46.50552123,-84.28966717
198,"Mark Street","P6A 3M7","SSM",46.50552061,-84.28989543
13,"Hare Avenue","P6C 2C6","SSM",46.53542037,-84.38272779
17,"Hare Avenue","P6C 2C6","SSM",46.53541693,-84.38297053
292,"Langdon Road","P6C 4G5","SSM",46.54409245,-84.36599093
680,"John Street","P6C 3K9","SSM",46.53519355,-84.3423235
85,"Simon Avenue","P6A 6T2","SSM",46.50688592,-84.26331475
1002,"Fifth Line East","P6A 6J8","SSM",46.59136548,-84.29577359
0,"Great Northern Road","P6B 0C1","SSM",46.57229515,-84.32179489
346,"Third Avenue","P6C 4M4","SSM",46.53236921,-84.36707574
198,"Mark Street","P6A 3M7","SSM",46.50552111,-84.28971527
81,"Simon Avenue","P6A 6T2","SSM",46.50676388,-84.26348055
603,"Seventh Line East",,"SSM",46.60655651,-84.31751081
998,"Third Line East","P6A 6J8","SSM",46.55384555,-84.30190921
1396,"Third Line East","P6A 0E1","SSM",46.55468336,-84.28105236
88,"Forest Avenue","P6B 1A7","SSM",46.51056109,-84.31268656
7,"Heidi Court","P6A 5K7","Aweres Township",46.65680536,-84.3312789
870,"Sixth Line East","P6A 6J8","SSM",46.59860971,-84.30794488
3,"Grove Crescent",,"SSM",46.52171952,-84.29077937
1465,"Great Northern Road","P6B 0C1","SSM",46.57357771,-84.32199011
0,"Birkshire Place","P6A 6J8","SSM",46.55647734,-84.30206961
803,"Seventh Line East",,"SSM",46.60578593,-84.30961321
240,"Old Trout Lake Road","P6A 6J8","SSM",46.60670756,-84.27292204
959,"Black Road","P6A 0C8","SSM",46.55074558,-84.28961315
93,"Simon Avenue","P6A 6T1","SSM",46.50716229,-84.26304734
213,"Case Road","P6A 6J8","SSM",46.56880925,-84.27256847
306,"John Street","P6C 3J4","SSM",46.52358995,-84.34350185
916,"Sixth Line East","P6A 6J8","SSM",46.60191027,-84.30389716
347,"Old Trout Lake Road","P6A 6J8","SSM",46.60984123,-84.28623033
103,"Old Highway 17 North","P6B 0C9","SSM",46.57642869,-84.31689519
0,"Fourth Line East","P6A 6J8","SSM",46.56679849,-84.30008563
0,"Case Road","P6A 6J8","SSM",46.56675132,-84.26968083
89,"Simon Avenue","P6A 6T1","SSM",46.50700112,-84.26318331
307,"Schultz Side Road","P6A 6J8","SSM",46.59478083,-84.31696693
1653,"Great Northern Road","P6B 0C2","SSM",46.57950436,-84.32448424
308,"John Street","P6C 3J4","SSM",46.52362347,-84.34349591
210,"Landslide Road","P6A 6J8","SSM",46.57026961,-84.27606439
5,"Heidi Court","P6A 5K7","Aweres Township",46.65662173,-84.3312388
1135,"Second Line East","P6B 4K5","SSM",46.53811859,-84.2903737
1131,"Trunk Road","P6A 6X8","SSM",46.52885468,-84.25719333
453,"Landslide Road","P6A 6J8","SSM",46.57785664,-84.28287315
598,"Allen's Side Road","P6A 5K8","SSM",46.54257405,-84.40017368
7,"Jonathan's Road","P6A 5K7","Aweres Township",46.63155301,-84.30945825
0,"Industrial Court B","P6B 5Z9","SSM",46.55195488,-84.32688442
28,"Linda Road",,"SSM",46.54485879,-84.31666459
9,"Jonathan's Road","P6A 5K7","Aweres Township",46.63167805,-84.30946342
494,"Case Road","P6A 6J8","SSM",46.58113971,-84.25641581
129,"Birkshire Place","P6A 6J8","SSM",46.55745737,-84.29936074
2509,"Great Northern Road",,"SSM",46.60065437,-84.2988588
1764,"Second Line West","P6A 5K8","SSM",46.5362879,-84.43910309
6,"Jonathan's Road","P6A 5K7","Aweres Township",46.63170571,-84.30975169
109,"Queensgate Boulevard","P6A 6Y4","SSM",46.52714681,-84.25284522
703,"Seventh Line East",,"SSM",46.60924472,-84.31241153
13,"Coronation Street","P6A 0C2","SSM",46.57632397,-84.34829832
120,"Fort Creek Drive","P6C 5T9","SSM",46.5429402,-84.33877947
127,"Moss Road","P6A 0B5","SSM",46.5505686,-84.37302033
454,"Queen Street East","P6A 1Z7","SSM",46.51120275,-84.33224864
143,"Sixth Line West","P6A 5K8","SSM",46.5934915,-84.35995087
203,"Seventh Line East",,"SSM",46.608687,-84.3385837
464,"Queen Street East","P6A 1Z7","SSM",46.5110662,-84.33205471
102,"Fort Creek Drive","P6C 5T9","SSM",46.54390165,-84.33874759
23,"Kent Crescent","P6C 3C4","SSM",46.55765726,-84.35759238
105,"Queensgate Boulevard","P6A 6Y4","SSM",46.52707268,-84.25265924
4,"Jonathan's Road","P6A 5K7","Aweres Township",46.63153489,-84.30985096
121,"Queensgate Boulevard","P6A 6Y4","SSM",46.52741101,-84.25344268
2,"Jonathan's Road","P6A 5K7","Aweres Township",46.63132879,-84.30991592
0,"Sackville Road","P6B 4T6","SSM",46.54445002,-84.32682916
1394,"Peoples Road","P6C 3W8","SSM",46.55957155,-84.3512536
113,"Queensgate Boulevard","P6A 6Y4","SSM",46.5272365,-84.25304985
1032,"Peoples Road","P6C 3W2","SSM",46.54692214,-84.35061556
458,"Queen Street East","P6A 1Z7","SSM",46.5111435,-84.33215065
1091,"Great Northern Road","P6B 0B9","SSM",46.56164731,-84.32829651
324,"St. Patrick Street","P6C 3S9","SSM",46.54700641,-84.34838478
193,"Pim Street","P6A 3H1","SSM",46.50968712,-84.32048902
79,"Alfred Street","P6A 5K8","SSM",46.55125855,-84.37639891
11,"Fairview Avenue","P6C 3W5","SSM",46.54853957,-84.35007372
64,"Churchill Avenue","P6C 2R2","SSM",46.53968421,-84.35372939
1349,"Peoples Road","P6C 3X1","SSM",46.55846648,-84.35716949
22,"Ferris Avenue","P6B 2R4","SSM",46.51512173,-84.32374373
117,"Queensgate Boulevard","P6A 6Y4","SSM",46.52733336,-84.25322648
0,"Brule Road","P6A 0B5","SSM",46.56015882,-84.36303041
982,"Goulais Avenue","P6A 5K8","SSM",46.5578512,-84.37886635
0,"Fourth Line West","P6A 0B5","SSM",46.56696643,-84.37884211
145,"Moss Road","P6A 0B5","SSM",46.55092675,-84.37248201
9,"Ferris Avenue","P6B 2R5","SSM",46.51477628,-84.32421164
580,"Shannon Road","P6A 4L6","SSM",46.51737274,-84.28317932
125,"Queensgate Boulevard","P6A 6Y4","SSM",46.52752329,-84.25363573999999
40,"Charlotte Drive","P6B 5S7","SSM",46.52050042,-84.30411927
580,"Shannon Road","P6A 4L6","SSM",46.51735571,-84.28317456
588,"Airport Road","P6A 5K6","SSM",46.49996438,-84.48410198
1574,"Peoples Road","P6A 0B5","SSM",46.5774982,-84.35236407
580,"Shannon Road","P6A 4L6","SSM",46.51733662,-84.28316691
275,"Fourth Line East","P6A 0C3","SSM",46.56631277,-84.3384765
152,"Greenfield Drive","P6C 3T2","SSM",46.55450788,-84.34984329
1402,"Old Goulais Bay Road","P6C 0A7","SSM",46.60511012,-84.33802904
1603,"Old Goulais Bay Road","P6C 0A7","SSM",46.60760814,-84.34909157
90,"Adrian Drive","P6A 4W9","SSM",46.51763979,-84.26074706
0,"Third Line East","P6A 6J8","SSM",46.54981843,-84.32961288
248,"Millcreek Drive","P6B 6L7","SSM",46.54267624,-84.30275438
47,"Third Line East","P6C 3B6","SSM",46.55066986,-84.34840453
149,"Princeton Drive","P6B 5T4","SSM",46.53035121,-84.29976416
91,"Sackville Road","P6B 4T4","SSM",46.54121138,-84.32989095
1503,"Old Goulais Bay Road","P6C 0A7","SSM",46.6061229,-84.34434546
756,"Brule Road","P6A 5K8","SSM",46.57717507,-84.36037223
476,"Third Line West","P6A 5K8","SSM",46.55549644,-84.37763773
